"Revision F, G MusselBedHeater",,,,
Qty,Value,Device,Package,Parts
1,,PINHD-1X6RA,1X06-RIGHT_ANGLE,FTDI
10,0.1uF,CAP0603,0603,"C1, C2, C3, C5, C6, C8, C10, C11, C12, C14"
2,100k 5%,RESISTOR_SMDR0603,R0603,"R6, R7"
21,10k  5%,RESISTOR_SMDR0603,R0603,"R4, R5, R9, R15, R16, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33"
1,10k 1% or 0.5%,RESISTOR_SMDR0603 (battery reference),R0603,R14
2,10 ohm,RESISTOR_SMDR0603 (LED),R0603,"R10, R11"
1,10 µF,CAP0603,0603,C4
1,10 µF,CPOL-USC,PANASONIC_C,C9
1,1uF,CAP0603,0603,C13
1,1µF,CPOL-USB,PANASONIC_B,C7
3,4.7k 5%,RESISTOR_SMDR0603 (pull-ups),R0603,"R2, R3, R8"
16,4.7 kohm 1%,RESISTOR_SMDR0603 (thermistor ref),R0603,"R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49"
1,47k 1% or 0.5%,RESISTOR_SMDR0603 (battery reference),R0603,R13
1,82 ohm,RESISTOR_SMDR0603 (LED),R0603,R12
1,ADG725_MUX,ADG725_MUX,TQFP48,ADG725B
1,AP2204R,AP2204R  Voltage regulator,SOT-89,AP2204_VREG
1,ATMEGA328P,ATMEGA328_SMT,TQFP32-08,ATMEGA328P
1,AVR_SPI_PRG_62X3_LOCK,"2x3 header 0.1"" pitch",2X3_LOCK,ISP
1,BATTERY_BUTTON_CELLCR1220_SMD,BATTERY_BUTTON_CELLCR1220_SMD,CR1220_BATTERY_HOLDER_SMD,U$5
1,BJT_NPN_FMMT619TA,BJT_NPN_FMMT619TA (battery monitor),SOT23,BJT_NPN
1,MOSFET-PCHANNELBSH203,MOSFET-PCHANNELBSH203 (battery monitor),SOT23-3,MOSFET-P
1,DS3231MSOIC-8,DS3231MSOIC-8 (real time clock),DS3231M_SOIC8,DS3231M
1,INDUCTOR0805_TY,INDUCTOR0805_TY,I_0805,INDUCTOR
1,LED_3_COLOR_ANODE1,LED_3_COLOR_ANODE1,LED_RGB_SMD_1.6X1.6,RGB_LED
1,MAX6100-MAX6107_VOLTAGE_REF,MAX6100-MAX6107_VOLTAGE_REF,SOT23-3,MAX6103
1,MICROSD_MOLEX_REVERSECURRENT,MICROSD_MOLEX_REVERSECURRENT,MICROSD_SOCKET_MOLEX_REVERSEMOUNT,U$2
16,MOSFET-N_LFPAK33,MOSFET-N_LFPAK33,SOT1210,"U$10, U$11, U$12, U$13, U$14, U$15, U$16, U$17, U$18, U$19, U$20, U$21, U$22, U$23, U$24, U$25"
1,OLED_0.96_I2CGND_PIN1_WIDE,"4-pin 0.1"" pitch header",OLED_0.96_I2C_GND_PIN1_WIDE,OLED
1,PCA968528,PCA968528,28-TSSOP,PCA9685
2,PUSHBUTTON_DPST_SMD2SMALL,PUSHBUTTON_DPST_SMD2SMALL,PUSHBUTTON_SPST_PTS525_SERIES,"BUTTON1, RESET"
2,SCHOTTKY_DIODE_TO-277-3,SCHOTTKY_DIODE_TO-277-3,TO-277-3,"U$7, U$8"
2,TERMINAL-2PIN-5.08MMLARGEHOLE,TERMINAL-2PIN-5.08MMLARGEHOLE,TERMINAL-2PIN-5.08MM_LARGEHOLE,"BATT_INPUT1, BATT_INPUT2"
